C1,C2,C3,C4,Score
#FFF0BE,#FFD6A6,#FFB399,#FF9A86,1942
#080616,#1A1953,#162E93,#2F2FE4,1369
#FF70BF,#D552A3,#831C91,#462C7D,942
#FFA02E,#FFEF91,#9AD872,#468432,751
#5DF8D8,#6FD1D7,#3B7597,#093C5D,581
#124170,#215B63,#67C090,#AAFFC7,533
#FF537B,#E13F7C,#FFEF9F,#FFE97D,470
#CCD67F,#F3E4C9,#A77F60,#8A5F41,309
#F8C463,#81912F,#E03F4F,#FFFAF0,208
#5D534A,#D6D2C4,#FFF5DA,#F7DAD9,9970
#577D86,#569DAA,#87CBB9,#B9EDDD,9957
#687EFF,#80B3FF,#98E4FF,#B6FFFA,9945
#EBEF95,#EFD595,#EFB495,#EF9595,9915
#4F200D,#FF8400,#FFD93D,#F6F1E9,9897
#DFF6FF,#47B5FF,#1363DF,#06283D,9885
#FFADBC,#D989B5,#975C8D,#863A6F,9882
#DAFFFB,#64CCC5,#176B87,#04364A,9871
#DBCBBD,#C87941,#87431D,#290001,9861
#674636,#AAB396,#F7EED3,#FFF8E8,9848
#88FFF7,#7DEDFF,#96BAFF,#7C83FD,9844
#F4D9D0,#D9ABAB,#C75B7A,#921A40,9833
#DACC96,#BF8B67,#9D5353,#632626,9799
#7D7D7D,#C5C5C5,#FED9CA,#FFEFE0,9783
#EEEEEE,#F9B5D0,#FF8E9E,#FF597B,9779
#F806CC,#A91079,#570A57,#2E0249,9770
#FF5733,#C70039,#900C3F,#511845,9765
#E9C891,#8A8635,#AE431E,#D06224,9741
#C0FEFC,#3EDBF0,#77ACF1,#04009A,9717
#6E85B2,#5C527F,#3E2C41,#261C2C,9683
#FFDF91,#EAAC7F,#91684A,#493323,9677
#B01E68,#DC3535,#F49D1A,#FFE15D,9674
#EEEEEE,#829460,#90A17D,#FFE1E1,9660
#4A4947,#B17457,#D8D2C2,#FAF7F0,9660
#F5CCA0,#E48F45,#994D1C,#6B240C,9592
#682C0E,#C24914,#FC8621,#F9E0AE,9587
#36622B,#729D39,#C6E377,#FBFAD3,9584
#FFF7F3,#FAD0C4,#E6B2BA,#C599B6,9582
#F8DE22,#F94C10,#C70039,#900C3F,9581
#ECDFCC,#697565,#3C3D37,#1E201E,9574
#B0578D,#D988B9,#FACBEA,#FFE4D6,9571
#00FFCA,#05BFDB,#088395,#0A4D68,9544
#FFFEB7,#FFEFBC,#FFDAC7,#FFADAD,9519
#EEEEEE,#DC5F00,#CF0A0A,#000000,9518
#C8ACD6,#433D8B,#2E236C,#17153B,9499
#DAFFFB,#64CCC5,#176B87,#001C30,9485
#DBE7C9,#789461,#50623A,#294B29,9454
#E6C4C0,#CA8A8B,#926E6F,#999B84,9450
#FAAB78,#FFD495,#FFFBAC,#D7E9B9,9437
#E28F83,#4A503D,#8E9775,#FAF2DA,9401
#494949,#FFFDF6,#ECE8D9,#FAF6E9,9381
#4D4D4D,#B46060,#FFBF9B,#FFF4E0,9339
#B6C7AA,#F6E6CB,#E7D4B5,#A0937D,9334
#FFF5A5,#FFAA64,#FF8264,#FF6464,9315
#379237,#54B435,#82CD47,#F0FF42,9294
#B8B2A6,#F4DADA,#FDFDF6,#DBE9B7,9283
#B99470,#FEFAE0,#A6B37D,#C0C78C,9257
#4E944F,#83BD75,#B4E197,#E9EFC0,9234
#42C2FF,#85F4FF,#B8FFF9,#EFFFFD,9212
#EBF4F6,#37B7C3,#088395,#071952,9209
#72FFFF,#00D7FF,#0096FF,#5800FF,9175
#7C9070,#9CA777,#FEE8B0,#F97B22,9148
#FFB0B0,#FFD09B,#FFECC8,#FFF7D1,9114
#EEF0E5,#B6C4B6,#304D30,#163020,9103
#A3C7D6,#9F73AB,#624F82,#3F3B6C,9070
#F5C7F7,#A393EB,#5E63B6,#27296D,9052
#FACE7F,#FCF0C8,#630A10,#911F27,9032
#8E05C2,#700B97,#3E065F,#000000,8988
#FFD07F,#FDA65D,#FF8243,#E26A2C,8969
#FFE1FF,#E4B1F0,#7E60BF,#433878,8945
#AC4B1C,#FCA652,#FFD57E,#FFEFA0,8918
#EFDFBF,#FFC0D0,#FFE0E0,#FFFAFA,8861
#FFC100,#FF8A08,#FF6500,#C40C0C,8845
#FFBABA,#C85C8E,#9D3C72,#7B2869,8836
#FFEFCF,#FF7A00,#D44000,#864000,8781
#614124,#CC704B,#E8C07D,#9FC088,8757
#790C5A,#CC0E74,#E6739F,#F1D4D4,8752
#BEFFF7,#A6F6FF,#9EDDFF,#6499E9,8719
#6C737E,#7393A7,#B5CFD8,#E8ECF1,8718
#D9FAFF,#00BBF0,#005792,#00204A,8670
#581C0C,#CA5116,#F9B384,#F1E3CB,8660
#C2D9FF,#8E8FFA,#7752FE,#190482,8652
