C1,C2,C3,C4,Score
#EEEEEE,#6FCF97,#2FA084,#1F6F5F,1375
#C2A56D,#547A95,#2C3947,#E8EDF2,723
#FFE8BE,#F7DD7D,#406AAF,#427AB5,702
#28396C,#EAE6BC,#F0FFC2,#B5E18B,583
#84C5B1,#ACCFA3,#F0E9B6,#744577,409
#FF0000,#BBD5DA,#DFF1F1,#F5F5F5,359
#D5E7B5,#72BAA9,#AD5C71,#934761,337
#FAFAFA,#FF6B35,#F59E0B,#0A7C6E,89
#CEE6F3,#DFA878,#BA704F,#6C3428,9992
#FFE3D8,#BBBBBB,#03506F,#0A043C,9935
#204051,#3B6978,#84A9AC,#E7DFD5,9927
#FF0060,#F6FA70,#00DFA2,#0079FF,9879
#E36387,#F2AAAA,#A6DCEF,#DDF3F5,9795
#CDFFFC,#FFC764,#FF884B,#FF577F,9793
#F5E8C7,#818FB4,#435585,#363062,9776
#95E1D3,#EAFFD0,#FCE38A,#FF75A0,9762
#EAB2A0,#A76F6F,#435B66,#2D4356,9724
#FAF4B7,#ECC5FB,#F9F9F9,#CDF0EA,9715
#FCDAB7,#1E5F74,#133B5C,#1D2D50,9656
#F6DEF6,#E5CFE5,#CFE5CF,#CFF6CF,9633
#181D31,#678983,#E6DDC4,#F0E9D2,9490
#204051,#3B6978,#84A9AC,#E4E3E3,9458
#FF2442,#FFB830,#FFEDDA,#3DB2FF,9404
#3D7EA6,#5C969E,#FFA5A5,#FCDADA,9322
#FEE440,#FF865E,#FEF9EF,#A2D2FF,9299
#6886C5,#FFACB7,#FFE0AC,#F9F9F9,9253
#FECEA8,#FF847C,#E84A5F,#2A363B,9229
#161D6F,#98DED9,#C7FFD8,#F6F6F6,9217
#008170,#005B41,#232D3F,#0F0F0F,9173
#874C62,#C98474,#F2D388,#A7D2CB,9158
#001253,#3E6D9C,#FD841F,#E14D2A,9099
#FAF4B7,#F6C6EA,#F9F9F9,#CDF0EA,9086
#141E46,#C70039,#FF6969,#FFF5E0,9053
#0A1D37,#FFBD9B,#FFD8CC,#FFEEDB,9032
#B1BED5,#BFD8D5,#DFDFDF,#F4F3F3,9023
#102C57,#DAC0A3,#EADBC8,#FEFAF6,9023
#EEEEEE,#E8D5C4,#FFF1DC,#3A98B9,8991
#EDC6B1,#B7B7B7,#7C96AB,#BFCCB5,8965
#45526C,#5AA897,#F8A488,#F8F5F1,8914
#52575D,#41444B,#DFD8C8,#CABFAB,8911
#F45050,#F9D949,#F0F0F0,#3C486B,8875
#FFDDAE,#FBFBFB,#D4F6FF,#C6E7FF,8871
#FAD6A5,#CFB997,#7B8FA1,#567189,8851
