C1,C2,C3,C4,Score
#FFF5F8,#FFB6C1,#FF4081,#D6336C,650
#685454,#EA8A8A,#EBD5D5,#F2F2F2,9691
#EDEDED,#DDBEBE,#C89595,#6C4A4A,9668
#E5B8F4,#C147E9,#810CA8,#2D033B,9664
#F5EDED,#D72323,#3E3636,#000000,9523
#E19999,#F5A8A8,#FAB7B7,#DDDDDD,9438
#213E3B,#41AEA9,#A6F6F1,#E8FFFF,9387
#E2D5D5,#BBBBBB,#8E7F7F,#865858,9209
#F2613F,#9B3922,#481E14,#0C0C0C,9001
#F8A1D1,#E36BAE,#B34180,#822659,8971
#E05297,#EA86B6,#F3BAD6,#FCEEF5,8969
#2A2438,#352F44,#5C5470,#DBD8E3,8926
#8B5D5D,#AA7070,#C19191,#F0E9E9,8865
#EBD3F8,#AD49E1,#7A1CAC,#2E073F,8857
#603F26,#6C4E31,#FFDBB5,#FFEAC5,8693
#B3E8E5,#82DBD8,#3BACB6,#2F8F9D,8667
#EEEEEE,#D84040,#8E1616,#1D1616,8545
#EEEEEE,#C73659,#A91D3A,#151515,8450
#E8F0F2,#A2DBFA,#39A2DB,#053742,8246
#EF88AD,#A53860,#670D2F,#3A0519,8105
#CA3E47,#313131,#414141,#525252,7723
#729762,#658147,#597445,#E7F0DC,7614
#FAE7C9,#E1C78F,#B0926A,#706233,7560
#DBDFFD,#9BA3EB,#646FD4,#242F9B,7518
#EEEEEE,#EFB7B7,#BD4B4B,#000000,7420
#2B2024,#A80038,#FD0054,#FBF9FA,7275
#AEFEFF,#4FBDBA,#35858B,#072227,7185
#FF5C8D,#FFC0D3,#FDEFF4,#524A4E,7108
#77ABB7,#476D7C,#254B62,#1D3E53,7071
#EDE4FF,#D7BBF5,#A076F9,#6528F7,6823
#000000,#BD1616,#FF2626,#FFE6E6,6668
#E5CFF7,#9D76C1,#713ABE,#5B0888,6554
#F7A8C4,#F37199,#E53888,#AC1754,6092
#E3EFF3,#CDE3EB,#6E828A,#143A52,6062
#2F9296,#46B7B9,#87DFD6,#DFF5F2,6018
#EC625F,#313131,#414141,#525252,5638
#7C3C21,#EC823A,#F9C49A,#E8E4E1,5629
#B8E1DD,#3A9188,#044A42,#062925,5465
#233B6E,#415F9D,#D3D6DB,#EFF0F4,5434
#F8ECFD,#C264FE,#A82FFC,#7A08FA,5351
#880E4F,#AD1457,#F06292,#F48FB1,5291
#203562,#3E588F,#C0C5CD,#E3E8F8,5137
#58391C,#6A492B,#E27802,#F88F01,5037
#0D3446,#176D81,#71ADB5,#D8DFE2,5016
#FBE6D4,#FECB89,#FFA931,#B9AC92,4989
#FF0592,#FC5BB6,#FFBEE3,#FFF6FB,4920
#34495E,#22313F,#8DC6FF,#E4F1FE,4851
#1E0411,#771144,#951555,#FDF0F6,4702
#C10000,#FF4949,#DEDEDE,#EEEEEE,4616
#EFF5D2,#C6D870,#8FA31E,#556B2F,4595
#B2B0E8,#7A85C1,#3B38A0,#1A2A80,4513
#FFBBE1,#FC7FB6,#DD356E,#B80257,4495
#CB3737,#EE6F57,#E3E3E3,#FAFAFA,4338
#FDE3F0,#F6A9CE,#9E3668,#691A40,4158
#214177,#3667A6,#82A6CB,#BDD8F1,4049
#FEC5F6,#DB8DD0,#C562AF,#B33791,3925
#EBF4F6,#7AB2B2,#088395,#09637E,3875
#623448,#973961,#D62B70,#FF006C,3874
#FCEFCB,#FAD59A,#E9A319,#A86523,3600
#40514E,#11999E,#30E3CA,#F3F6F6,3543
#90B8F8,#5F85DB,#26282B,#353941,3539
#521C0D,#D5451B,#FF9B45,#F4E7E1,3492
#FFCF71,#FF9D00,#B6771D,#7B542F,3312
#FDDB3A,#D5C455,#EDE59A,#F6F4E6,3270
#F361AF,#FDAED8,#FDF6FA,#3F3038,3261
#D8E6EC,#004262,#005A85,#007AB5,3185
#674F04,#A28F70,#D3BD9A,#F5F0E8,3120
#533710,#6E4B1F,#98651E,#F0D394,2987
#F638DC,#5A3D5C,#382039,#200F21,2951
#F0FBFF,#ACDCEE,#475053,#2E94B9,2608
#C8F6ED,#4BE4C5,#3EC8AC,#2DAF94,2589
#000278,#192294,#5254D8,#B7B9F4,2579
#B5F7E6,#53C0A2,#128061,#266352,2554
#B1AD25,#DAD773,#F0EEB1,#FDFCE0,2552
#F6EDDD,#CAAD8C,#623B1C,#49260A,2540
#D6C5F0,#9153F4,#5727A3,#1B0044,2538
#3C0303,#8A0F0F,#C22828,#EFBFC6,2494
#F8B259,#C75D2C,#D96F32,#F3E9DC,2477
#FDE994,#F5DD7B,#D9B650,#83580B,2352
#310A5D,#411E8F,#2A2438,#352F44,2232
#C9FBFF,#91F3FC,#2F8189,#3B939B,2014
#F8EDCD,#EFD99B,#C3A655,#70560D,1056
