C1,C2,C3,C4,Score
#DC9B9B,#F6F4E8,#E5EEE4,#C0E1D2,1565
#8ACBD0,#56B6C6,#EFE3CA,#170C79,804
#FFC85C,#FF653F,#452E5A,#1E104E,604
#CAAA98,#9A8678,#4B4038,#202940,496
#FFE394,#F48F68,#8BDFDD,#FFF6DE,57
#F2E1C1,#F6AE99,#B97A95,#716F81,9950
#FFF8C9,#DFCCFB,#D0BFFF,#BEADFA,9854
#FFE9D6,#A7D0CD,#7B6079,#DE8971,9850
#116A7B,#CDC2AE,#ECE5C7,#C2DEDC,9794
#767C77,#9CADA4,#FBE2E5,#FABEA7,9790
#F7EEDD,#ACE2E1,#41C9E2,#008DDA,9774
#F8F4EA,#ECE8DD,#E1D7C6,#579BB1,9750
#00F5FF,#FCE700,#FF6D28,#EA047E,9665
#FFAD60,#D9534F,#FFEEAD,#96CEB4,9661
#637373,#679B9B,#FFEADB,#FF9A76,9589
#FF9DE2,#8C82FC,#B693FE,#7EFFDB,9549
#FFE3ED,#FFFDF9,#BEEBE9,#9BE3DE,9426
#222831,#30475E,#F05454,#E8E8E8,9399
#54BAB9,#E9DAC1,#F7ECDE,#FBF8F1,9379
#2CD3E1,#A459D1,#F266AB,#FFB84C,9361
#FECD1A,#FD3A69,#9D0191,#120078,9313
#435560,#6E7C7C,#92967D,#C8C6A7,9272
#5AB2FF,#A0DEFF,#CAF4FF,#FFF9D0,9243
#22668D,#8ECDDD,#FFFADD,#FFCC70,9225
#FFEBAD,#FFF6BF,#ABD9FF,#C3F8FF,9213
#FF4C29,#334756,#2C394B,#082032,9202
#121212,#30475E,#F05454,#F5F5F5,9180
#86ABA1,#DFF3E3,#F1AE89,#D68060,9100
#ECDBBA,#C84B31,#346751,#161616,8973
#E2E2B6,#6EACDA,#03346E,#021526,8963
#D4B5B0,#EEDAD1,#F69E7B,#383E56,8888
#187498,#36AE7C,#F9D923,#EB5353,8853
#B2533E,#FCE09B,#B5CB99,#186F65,8830
#A2D5F2,#40A8C4,#07689F,#FFC93C,8746
#DBEDF3,#F73859,#404B69,#283149,8704
#C6B497,#CFD3CE,#839B97,#34626C,8654
#314E52,#F2A154,#F7F6E7,#E7E6E1,8648
#FFEEAF,#E1FFEE,#A5F1E9,#7FBCD2,8630
#F5CDAA,#CFB495,#758184,#5D5B6A,8578
#C06014,#424642,#536162,#F3F4ED,8480
#C5BAFF,#C4D9FF,#E8F9FF,#FBFBFB,8435
#FFF9F9,#D6E5FA,#BAABDA,#D77FA1,8430
#403F48,#596C68,#95A792,#E3D9CA,8329
#E1F1DD,#CDC7BE,#87A7B3,#766161,8301
#EEEEEE,#DA1212,#11468F,#041562,8242
#ECEFCA,#94B4C1,#547792,#213448,8204
#EEF1DA,#D5E5D5,#C7D9DD,#ADB2D4,8156
#1A3C40,#1D5C63,#417D7A,#EDE6DB,8118
#FBD1B7,#FEE9B2,#F9FCE1,#D3F6F3,8090
#FFC5A1,#F8A978,#BADFDB,#FCF9EA,8088
#820300,#B80000,#FF9800,#5F8670,8070
#EDEDD0,#A6D6D6,#A58FAA,#907FA4,8055
#8AC6D1,#FFE3ED,#FFFDF9,#BEEBE9,8030
#1C1427,#40394A,#7ECA9C,#CCFFBD,8022
#97C4B8,#CCF3EE,#F9F3EE,#F9CEEE,8014
#23120B,#21209C,#FDB827,#F1F1F1,7979
#31326F,#9DDFD3,#DBF6E9,#FFC93C,7950
#FFE3E3,#FFA0A0,#262A53,#628395,7920
#FFCD4B,#FF7676,#FF4B91,#0802A3,7789
#005F99,#FF449F,#FFF5B7,#00EAD3,7743
#EC524B,#F5B461,#F3EAC2,#9AD3BC,7720
#EEEEEE,#D65A31,#393E46,#222831,7717
#B6C9F0,#FFE5E2,#F5ABC9,#E93B81,7706
#022E57,#005A8D,#FF96AD,#FFF5FD,7702
#FFD700,#115173,#053F5E,#022C43,7691
#F4EBC1,#A0C1B8,#709FB0,#726A95,7676
#FDFF00,#9CFF2E,#38E54D,#2192FF,7649
#427996,#645C84,#A2738C,#EAAFAF,7641
#537791,#C1C0B9,#F7F6E7,#E7E6E1,7611
#EAE3C8,#CFC5A5,#C2B092,#A1CAE2,7595
#FFC93C,#86E5FF,#5BC0F8,#0081C9,7592
#A555EC,#D09CFA,#F3CCFF,#FFFFD0,7574
#EE99A0,#AD6C80,#350B40,#94B5C0,7526
#F19ED2,#E8C5E5,#F7F9F2,#91DDCF,7500
#F4538A,#FAA300,#F5DD61,#59D5E0,7491
#F6F2D4,#95D1CC,#5584AC,#22577E,7468
#FFBD69,#F37121,#C70039,#111D5E,7446
#FCBF1E,#40BAD5,#035AA6,#120136,7386
#66DE93,#FFEAC9,#FF616D,#D83A56,7367
#CCFFEC,#FFDEDE,#FFE8CF,#FDFDC4,7353
#70A1D7,#A1DE93,#F7F48B,#F47C7C,7347
#FBEEAC,#F4D160,#75C2F6,#1D5D9B,7342
#C5E3F6,#FC5C9C,#FCCDE2,#FCEFEE,7328
#F6B17A,#7077A1,#424769,#2D3250,7289
#E3E3E3,#F95959,#455D7A,#233142,7173
#4C4C6D,#B8DFD8,#E8F6EF,#FFE194,7167
#000000,#082032,#334756,#F0A500,7161
#FFC600,#E900FF,#5800FF,#000000,7088
#7AA2E3,#6AD4DD,#97E7E1,#F8F6E3,7037
#97E5EF,#FFF0F5,#F8E1F4,#EFA8E4,7008
#393232,#E48257,#F2EDD7,#3A6351,6945
#03C4A1,#C62A88,#590995,#150485,6931
#8ACCD5,#F8F8E1,#FFC1DA,#FF90BB,6922
#F7F7F7,#93DEFF,#606470,#323643,6911
#A3D8FF,#94FFD8,#FDFFC2,#FF76CE,6870
#FFF5D7,#E195AB,#FFCCE1,#F2F9FF,6800
#FFF6F4,#FFA41B,#F86F03,#525FE1,6796
#9CAFAA,#D6DAC8,#FBF3D5,#D6A99D,6783
#EEEEEE,#F6C90E,#3A4750,#303841,6773
#21BF73,#B0EACD,#F9FCFB,#FD5E53,6751
#16C79A,#19456B,#11698E,#F8F1F1,6702
#020205,#E43A19,#F2F4F7,#111F4D,6695
#679B9B,#F7C5A8,#FFEADB,#FF9A76,6684
#1D242B,#0077C0,#C7EEFF,#FAFAFA,6623
#474744,#2994B2,#FFFBE0,#FFB400,6615
#3D6CB9,#00D1FF,#00FFF0,#FAFAF6,6612
#B2DEEC,#FADCAA,#C56183,#794C74,6608
#FCB1B1,#F0F696,#96F7D2,#F5B5FC,6573
#4CACBC,#6CC4A1,#A0D995,#F6E3C5,6572
