C1,C2,C3,C4,Score
#5D1C6A,#CA5995,#FFB090,#FFF1D3,1039
#5C766D,#5C4F4A,#C9996B,#EDE9E6,855
#E6EEC9,#C2D099,#7DA78C,#35858E,619
#FF61F8,#FFA6FB,#FFFBA7,#FFEA6C,130
#FFE6E6,#E1AFD1,#AD88C6,#7469B6,9920
#A1C298,#C6EBC5,#FBF2CF,#FA7070,9768
#75A47F,#BACD92,#FCFFE0,#F5DAD2,9737
#CDFAD5,#F6FDC3,#FFCF96,#FF8080,9642
#DCD7C9,#A27B5C,#3F4F44,#2C3930,9579
#F9F7C9,#D5F0C1,#AAD9BB,#80BCBD,9472
#3F4441,#5E6F64,#BA7967,#FFDECF,9342
#363062,#4D4C7D,#827397,#E9D5CA,9333
#FCC5C0,#E8A0BF,#C689C6,#937DC2,9280
#FDF0F0,#F1B4BB,#1F4172,#132043,9172
#DAD3BE,#B7B597,#6B8A7A,#254336,9094
#F1C376,#F7E6C4,#FFF4F4,#606C5D,9060
#6C5B7C,#C06C84,#F67280,#F8B595,9043
#FFA900,#FF7600,#CD113B,#52006A,9032
#E94560,#0F3460,#16213E,#1A1A2E,9001
#A2C579,#D2DE32,#FFFFDD,#016A70,8983
#ECB390,#DD4A48,#F5EEDC,#C0D8C0,8972
#2B2A4C,#B31312,#EA906C,#EEE2DE,8887
#98D6EA,#BAE5E5,#F5FCC1,#F3D1F4,8779
#FF7878,#E0C097,#F3F0D7,#CEE5D0,8755
#E86A33,#263A29,#41644A,#F2E3DB,8724
#FAF3DD,#C8D5B9,#8FC0A9,#68B0AB,8711
#F58634,#FFCC29,#81B214,#206A5D,8696
#FC85AE,#9E579D,#574B90,#303A52,8683
#D6BD98,#677D6A,#40534C,#1A3636,8636
#698474,#FFD3B6,#FCF8F3,#FFAAA5,8602
#F4D9C6,#E5C5B5,#D2F5E3,#94B4A4,8595
#A56CC1,#A6ACEC,#ACE7EF,#CEFFF1,8516
#FFCC29,#F58634,#007965,#00AF91,8450
#F4EEA9,#F0BB62,#519259,#064635,8413
#D6E5FA,#FEF6FB,#E6B2C6,#D77FA1,8391
#F67280,#C06C84,#6C5B7B,#35477D,8382
#6DDCCF,#94EBCD,#FFEFA1,#FFCB91,8380
#D0CAB2,#DED9C4,#96C7C1,#89B5AF,8354
#A68DAD,#C7B198,#DFD3C3,#F0ECE3,8350
#C3F0CA,#FAEEE7,#FFC6C7,#FF8BA7,8319
#FAECD6,#F2DEBA,#4E6C50,#820000,8310
#E43F5A,#1B1B2F,#1F4068,#162447,8264
#674188,#C8A1E0,#E2BFD9,#F7EFE5,8205
#616161,#8AAE92,#C4E3CB,#F4F9F4,8158
#006A71,#48A6A7,#9ACBD0,#F2EFE7,8158
#D2D79F,#90B77D,#42855B,#483838,8126
#FFF9BF,#FDDBBB,#F0C1E1,#CB9DF0,8091
#FFC478,#F0E5D8,#BBDFC8,#75CFB8,8018
#694F8E,#B692C2,#E3A5C7,#FFDFD6,7957
#265073,#2D9596,#9AD0C2,#ECF4D6,7944
#98D8AA,#F3E99F,#F7D060,#FF6D60,7923
#FFBD39,#E61C5D,#930077,#3A0088,7879
#FBFFDC,#D0F5BE,#98EECC,#79E0EE,7861
#E84A5F,#FF847C,#FECEAB,#99B898,7860
#5C8D89,#74B49B,#A7D7C5,#F9F8EB,7843
#EB1D36,#FA9494,#CFD2CF,#F5EDDC,7818
#D2E69C,#8FD9A8,#28B5B5,#4B778D,7806
#FEFBD8,#EECEB9,#BB9AB1,#987D9A,7753
#004445,#2C786C,#FAF5E4,#F8B400,7727
#F1FADA,#9AD0C2,#2D9596,#265073,7680
#678A74,#F7C5A8,#FFEADB,#FFBABA,7598
#F1F1E8,#BFDCAE,#81B214,#206A5D,7432
#F6F8D5,#98D2C0,#4F959D,#205781,7421
#FFECC7,#FDD998,#F5B971,#85A392,7419
#E8D0B3,#86340A,#C36839,#7EB5A6,7376
#EDFFA9,#B0EFEB,#FDBAF8,#ECA3F5,7363
#FFA732,#EF4040,#C21292,#711DB0,7358
#F2F4C3,#FFDCF5,#FDC7FF,#C7F3FF,7356
#705C53,#B7B7B7,#F5F5F7,#EDDFE0,7319
#73A9AD,#B3C890,#DBDFAA,#F5F0BB,7314
#FAF3E3,#FF9F29,#1A4D2E,#000000,7306
#FAD586,#D6EFC7,#96BB7C,#184D47,7298
#E6FF94,#9DDE8B,#40A578,#006769,7274
#E6E6E6,#5C7AEA,#3D56B2,#14279B,7269
#707070,#92817A,#8DB596,#BEDBBB,7258
#A1C398,#C6EBC5,#FEFDED,#FA7070,7255
#949CDF,#A7C5EB,#F6ECF0,#CD5D7D,7238
#FFD9B7,#7EAA92,#9ED2BE,#C8E4B2,7238
#E94560,#533483,#0F3460,#16213E,7191
#FFDCAE,#CED89E,#ADCF9F,#76BA99,7183
#A0C1B8,#719FB0,#726A95,#351F39,7151
#EFF48E,#D2E603,#3E978B,#2EC1AC,7051
